Pojem česky	Definice česky
 Spotřeba prvotní energie	Spotřeba primárního zdroje energie kotle (tj. palivo spotřebované na změnu termodynamického stavu kapaliny).
 Spotřeba vedlejší energie	Spotřeba sekundárního zdroje energie kotle (tj. elektřina spotřebovaná elektrickými přístroji, např. ventilátory a čerpadly).
	
 Typ kotle - všeobecně	"Všeobecné atributy typu kotle.
Atribut HladinaZvuku vymazán v IFC2x2 Pset Addendum: Místo něj použijte IfcSoundProperties. Atributy PrimárníZdrojEnergie a VedlejšíZdrojEnergie vymazány v IFC2x2 Pset Addendum: Místo toho použijte IfcEnergyProperties, IfcFuelProperties atd."
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Jmenovitý tlak	Jmenovitý tlak kotle předepsaný příslušným úřadem.
 Provozní režim	Udává provozní režim kotle.
 Teplosměnná plocha	Celková teplosměnná plocha nádoby.
 Poměr jmenovitého částečného zatížení	Přípustný rozsah poměrů částečného zatížení.
 Rozsah teplot vstupní vody	Přípustný rozsah teplot vstupní vody.
 Obsah vodní nádrže	Obsah vodní nádrže.
 Je ohřívač vodní nádrže	Slouží k určení, zda má kotel vodní nádrž (TRUE). Je-li FALSE, součástí kotle není vodní nádrž a jedná se např. o průtokový ohřívač vody.
 Křivky účinnosti částečného zatížení	Účinnost kotle jako funkce koeficientu částečného zatížení; E = f (KoefČástZatížení).
 Rozsah výstupních teplot	Povolená výstupní teplota vody nebo páry.
 Jmenovitá spotřeba energie	Jmenovitá spotřeba paliva potřebná k výrobě celkového tepelného výkonu kotle.
 Zdroj energie	Výčet definující zdroj energie nebo paliva spalovaného pro výrobu tepla.
	
 Typ kotle - parní	Všeobecné atributy typu parního kotle.
 Maximální výstupní tlak	Maximální výstupní tlak páry.
 Jmenovitá účinnost	Jmenovitá účinnost kotle stanovená výrobcem. U parních kotlů jde o závislost vstupní teploty na tlaku páry.  Poznámka: protože jsou použity dvě proměnné, DefinujícíHodnoty a DefinovanéHodnoty jsou nulové a hodnoty jsou uloženy v entitě IfcTable v tomto pořadí: VstupníTeplota(IfcThermodynamicTemperatureMeasure) a VýstupníTeplota(IfcThermodynamicTemperatureMeasure) v entitě DefinujícíHodnoty a JmenovitáÚčinnost(IfcNormalisedRatioMeasure) v entitě DefinovanéHodnoty. Příklad: DefinujícíHodnoty(VstupníTepl, VýstupníTepl), DefinovanéHodnoty(nulové, JmenovitáÚčinnost).  IfcTable je vztažena k entitě IfcPropertyTableValue pomocí IfcPropertyConstraintRelationship.
 Tepelný výkon	Celkový jmenovitý tepelný výkon uvedený výrobcem kotle. U parních kotlů je to závislost vstupní teploty na tlaku páry.  Poznámka: protože jsou použity dvě proměnné, DefinujícíHodnoty a DefinovanéHodnoty jsou nulové a hodnoty jsou uloženy v entitě IfcTable v tomto pořadí: VstupníTeplota(IfcThermodynamicTemperatureMeasure) a VýstupníTeplota(IfcThermodynamicTemperatureMeasure) v entitě DefinujícíHodnoty a TepelnýVýkon(IfcEnergyMeasure) v entitě DefinovanéHodnoty. Příklad: DefinujícíHodnoty(VstupníTepl, VýstupníTepl), DefinovanéHodnoty(nulové, TepelnýVýkon). IfcTable je vztažena k entitě IfcPropertyTableValue pomocí IfcPropertyConstraintRelationship.
	
 Typ kotle - vodní	Všeobecné atributy typu vodního kotle.
 Jmenovitá účinnost	Jmenovitá účinnost kotle stanovená výrobcem. U vodních kotlů se jedná o závislost vstupní teploty na výstupní teplotě. Poznámka: protože jsou použity dvě proměnné, DefinujícíHodnoty a DefinovanéHodnoty jsou nulové a hodnoty jsou uloženy v entitě IfcTable v tomto pořadí: VstupníTeplota(IfcThermodynamicTemperatureMeasure) a VýstupníTeplota(IfcThermodynamicTemperatureMeasure), JmenovitáÚčinnost(IfcNormalizedRatioMeasure).  IfcTable je vztažena k entitě IfcPropertyTableValue pomocí IfcPropertyConstraintRelationship.
 Tepelný výkon	Celkový jmenovitý tepelný výkon uvedený výrobcem kotle. U vodních kotlů je to závislost vstupní teploty na výstupní teplotě. U parních kotlů je to závislost vstupní teploty na tlaku páry.  Poznámka: protože jsou použity dvě proměnné, DefinujícíHodnoty a DefinovanéHodnoty jsou nulové a hodnoty jsou uloženy v entitě IfcTable v tomto pořadí: VstupníTeplota(IfcThermodynamicTemperatureMeasure), VýstupníTeplota(IfcThermodynamicTemperatureMeasure), TepelnýVýkon(IfcEnergyMeasure).  IfcTable je vztažena k entitě IfcPropertyTableValue pomocí IfcPropertyConstraintRelationship.
	
 Budova - všeobecně	Všeobecné vlastnosti k definici všech instancí IfcBuilding. Několik atributů budovy se zpracovává přímo v instanci IfcBuilding, číslo (nebo zkrácený název) budovy v instanci IfcBuilding.Name, název (nebo celý název) budovy v instanci IfcBuilding.LongName, a popis (nebo komentáře) v instanci IfcBuilding.Description. Skutečné číselné hodnoty budovy, např. její obvod, plocha a objem, jsou uvedeny v instanci IfcElementQuantity a klasifikace budovy podle národních stavebních předpisů v instanci IfcClassificationReference.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“). Používá se k uložení klasifikačně neřízeného vnitřního typu projektu.
 ID budovy	Jedinečné identifikační označení přiřazené budově. V době podání žádosti o územní rozhodnutí je zprvu přiřazeno dočasné identifikační označení. Toto dočasné identifikační označení se změní na trvalé po zápisu budovy (stavby) do statutární databáze budov a nemovitostí.
 Je trvalá ID	Udává, zda identita přiřazená budově je trvalá (= TRUE) nebo dočasná (= FALSE).
 Metoda konstrukce	Typ konstrukční činnosti prováděné na budově, která je předmětem projektu, např. nový objekt, renovace, modernizace atd.
 Třída požární odolnosti	Hlavní třída požární odolnosti budovy, která je přiřazena z tabulky tříd požární odolnosti uvedené v příslušných národních stavebních předpisech.
 Ochrana pomocí sprinkleru	Označení, zda je objekt chráněn sprinklerem (TRUE) či nikoli (FALSE).
 Automatická ochrana pomocí sprinkleru	Označení, zda má objekt automatickou ochranu sprinklerem (TRUE) či nikoli (FALSE).
 Typ užívání	"Typ užívání tohoto objektu.
Je určen podle platných národních stavebních předpisů."
 Hrubá plánovaná plocha	Celková hrubá plánovaná plocha budovy, používá se při programování budovy.
 Čistá plánovaná plocha	Celková čistá plánovaná plocha budovy, používá se při programování budovy.
 Počet podlaží	"Počet podlaží v budově.
Zjišťuje se pro případy, kdy se nepoužívá entita IfcBuildingStorey. Je-li uplatněna entita IfcBuilingStorey a lze z ní určit počet podlaží budovy, je nutné přednostně použít tento postup stanovení vlastnosti pro počet podlaží."
 Rok výstavby	Rok výstavby této budovy včetně předpokládaného roku dokončení.
 Rok poslední modernizace	Rok poslední velké modernizace nebo rekonstrukce budovy (platí pro rekonstrukční práce).
 Jedná se o pamětihodnost	Tato budova je v seznamu památkově chráněných budov (TRUE) či nikoli (FALSE), nebo o tom nejsou informace.
	
 Zástupce prvku budovy - všeobecně	Všeobecné vlastnosti k definici všech instancí IfcBuildingElementProxy.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“. Musí být poskytnuta jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) daného prvku. Jedná se o celkový součinitel prostupu tepla zástupcem prvku budovy ve směru tepelného toku (včetně všech materiálů).

Poznámka: nová vlastnost v IFC4"
 Nosnost	Udává, zda je objekt určen k nesení zátěže (TRUE) nebo nikoli (FALSE).
 Požární odolnost	"Požární odolnost tohoto prvku.
Udává se podle národní klasifikace požární bezpečnosti."
	
 Rezerva na prázdný prostor v zástupci prvku budovy	Všeobecné vlastnosti k definici rezervy na prázdný prostor jakožto zvláštního typu instance IfcBuildingElementProxy. Rezerva na prázdný prostor je prostorová rezerva, kterou lze použít k vyřešení prázdného prostoru v prvku budovy. Vlastnosti nesou vyžádané hodnoty.
 Tvar	Tvar rezervy na prázdný prostor, minimální sada schválených hodnot zahrnuje položky 'Pravoúhlý', 'Kruhový' a 'Nedefinovaný'.
 Šířka	Požadovaná šířka (horizontální protažení v dané výšce) rezervy na prázdný prostor, jen za předpokladu, že vlastnost Tvar je nastavena na "pravoúhlý".
 Výška	Požadovaná výška (vertikální protažení v dané výšce) rezervy na prázdný prostor, jen za předpokladu, že vlastnost Tvar je nastavena na "pravoúhlý".
 Průměr	Požadovaný průměr (v dané výšce) rezervy na prázdný prostor, jen za předpokladu, že vlastnost Tvar je nastavena na "kruhový".
 Hloubka	Požadovaná hloubka nebo tloušťka rezervy na prázdný prostor.
 Systém	Servisní systém budovy, který vyžaduje rezervy na prázdný prostor, např. 'Klimatizace', 'PotrubníInstalace', 'Elektro' atd.
	
 Podlaží budovy - všeobecně	Všeobecné vlastnosti k definici všech instancí IfcBuildingStorey. Několik atributů budovy se zpracovává přímo v instanci IfcBuildingStorey, číslo (nebo zkrácený název) podlaží budovy v instanci IfcBuildingStorey.Name, název (nebo celý název) podlaží budovy v instanci IfcBuildingStorey.LongName, a popis (nebo komentáře) v instanci IfcBuildingStorey.Description. Skutečné číselné hodnoty podlaží budovy, např. jeho obvod, plocha a objem, jsou uvedeny v instanci IfcElementQuantity a klasifikace podlaží budovy podle národních stavebních předpisů v instanci IfcClassificationReference.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“). Používá se k uložení klasifikačně neřízeného vnitřního typu projektu.
 Úroveň vstupu	Označení, zda toto podlaží budovy tvoří úroveň vstupu do budovy (TRUE) či nikoli (FALSE).
 Nadzemní	Označení, zda je toto podlaží budovy zcela nad zemí (TRUE), pod zemí (FALSE) nebo částečně nad a částečně pod zemí (UNKNOWN) - např. ve svažitém terénu.
 Ochrana pomocí sprinkleru	Označení, zda je objekt chráněn sprinklerem (TRUE) či nikoli (FALSE).
 Automatická ochrana pomocí sprinkleru	"Označení, zda má objekt automatickou ochranu sprinklerem (TRUE) či nikoli (FALSE).
Musí se uvádět jen v případě, že vlastnost ""OchranaSprinklerem"" je nastavena na TRUE."
 Únosnost	Maximální návrhová únosnost podlahové konstrukce v celém podlaží.
 Hrubá plánovaná plocha	Celková plánovaná plocha podlaží budovy. Slouží k programování podlaží budovy.
 Čistá plánovaná plocha	Celková plánovaná čistá plocha podlaží budovy. Slouží k programování podlaží budovy.
	
 Stavební systém - všeobecně	Všeobecné vlastnosti k definici stavebních systémů.
 Reference	Referenční ID pro tuto konkrétní instanci stavebního systému v tomto projektu (např. 'TRA/EL1'), referenční hodnoty závisí na místních prováděcích předpisech.
	
 Využití budovy	Poskytuje informace o aktuálním i předpokládaném realitním kontextu zájmové budovy.
 Tržní kategorie	Kategorie použití, např. obytná, komerční, rekreační atd.
 Dílčí tržní kategorie	Dílčí charakteristika tržní kategorie použití, např. bytový, se 2 ložnicemi, nízký.
 Stav kontroly plánování	Označení kategorie nebo třídy dle územního plánu, případně kategorie kontroly plánování dané stavby nebo zařízení.
 Narativní text	Doplňující informace o použití sousední budovy, které se nehodí do všeobecného popisného textu spojeného s entitou prostřednictvím zděděné entity IfcRoot.Description.
 Aktuální míra neobsazenosti v kategorii	Neobsazenost v procentech aktuálně zjištěná v dané kategorii.
 Aktuálně dostupné režimy držby	Seznam aktuálně dostupných režimů držby vyjádřených pomocí IfcLabel.
 Aktuálně dostupné dílčí tržní kategorie	Seznam aktuálně dostupných dílčích kategorií vlastnosti vyjádřených pomocí IfcLabel.
 Aktuální sazby nájemného v kategorii	Rozpětí aktuálních cenových sazeb za nemovitost v požadované kategorii.
 Budoucí míra neobsazenosti v kategorii	Neobsazenost v procentech očekávaná v budoucnu v dané kategorii.
 Režimy držby dostupné v budoucnu	Seznam režimů držby, které se očekávají v budoucnu a jsou vyjádřeny pomocí IfcLabel.
